                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.4724,                 1.0023,                  1.285,                0.89647,                0.82325,                0.90404,                 0.5863,                 1.2412,                0.70878,                 1.1321,               0.006535,               0.006535,               0.006535
                     37,                  1.468,                0.99426,                 1.2818,                0.89398,                 0.8329,                 0.9084,                 0.5877,                 1.2386,                0.70034,                 1.1341,               0.006436,               0.006436,               0.006436
                     38,                  1.457,                0.98804,                 1.2761,                 0.8992,                0.83314,                0.90772,                0.59011,                 1.2276,                 0.6934,                 1.1275,               0.006337,               0.006337,               0.006337
                     39,                 1.4626,                0.98631,                 1.2772,                0.90714,                0.82523,                0.90761,                0.59198,                 1.2248,                0.69515,                 1.1245,               0.006238,               0.006238,               0.006238
                     40,                 1.4535,                0.98176,                 1.2747,                0.90169,                 0.8293,                0.90852,                0.59289,                 1.2232,                0.68867,                  1.126,               0.006139,               0.006139,               0.006139
                     41,                 1.4418,                0.96599,                 1.2677,                 0.9051,                0.83141,                0.91301,                0.59601,                 1.2159,                0.67948,                 1.1191,                0.00604,                0.00604,                0.00604
                     42,                 1.4382,                0.95945,                 1.2656,                0.91399,                0.82622,                 0.9121,                0.59664,                 1.2153,                0.68122,                 1.1198,               0.005941,               0.005941,               0.005941
                     43,                 1.4457,                0.96334,                 1.2641,                0.90337,                0.83513,                0.91243,                0.59771,                 1.2145,                0.67934,                 1.1207,               0.005842,               0.005842,               0.005842
                     44,                 1.4345,                0.95589,                 1.2596,                0.90047,                0.83903,                0.91296,                0.59997,                 1.2088,                0.67791,                 1.1184,               0.005743,               0.005743,               0.005743
                     45,                  1.434,                0.95237,                 1.2624,                0.90421,                0.83531,                0.91234,                0.60018,                 1.2096,                0.67141,                 1.1196,               0.005644,               0.005644,               0.005644
                     46,                 1.4169,                0.94082,                 1.2525,                0.90563,                0.83958,                0.91453,                0.60139,                 1.2044,                0.66856,                 1.1148,               0.005545,               0.005545,               0.005545
                     47,                  1.422,                  0.939,                 1.2519,                0.90352,                0.84329,                0.91597,                0.60588,                 1.1975,                0.66329,                 1.1113,               0.005446,               0.005446,               0.005446
                     48,                 1.4148,                0.93337,                 1.2525,                0.90384,                0.84274,                0.91615,                0.60735,                  1.195,                0.66116,                   1.11,               0.005347,               0.005347,               0.005347
                     49,                 1.4155,                0.93241,                 1.2472,                0.89784,                0.84849,                0.91642,                0.60773,                 1.1917,                0.65972,                 1.1066,               0.005248,               0.005248,               0.005248
                     50,                 1.4084,                0.92241,                 1.2444,                0.91113,                0.84141,                0.91888,                0.61118,                 1.1845,                0.65372,                 1.1026,               0.005149,               0.005149,               0.005149
                     51,                 1.3999,                0.91576,                 1.2391,                0.91389,                0.84181,                0.91929,                0.61251,                 1.1832,                0.65098,                 1.1029,                0.00505,                0.00505,                0.00505
                     52,                 1.3925,                0.91111,                 1.2357,                0.90948,                0.84508,                0.91976,                0.61391,                 1.1816,                0.64745,                  1.101,               0.004951,               0.004951,               0.004951
                     53,                 1.3966,                0.90727,                 1.2373,                0.90561,                0.84972,                0.91908,                0.61316,                 1.1812,                0.64833,                 1.1024,               0.004852,               0.004852,               0.004852
                     54,                 1.3916,                0.90401,                 1.2342,                0.90867,                0.84977,                0.91914,                0.61441,                 1.1757,                0.64408,                 1.1001,               0.004753,               0.004753,               0.004753
                     55,                 1.3865,                0.90452,                 1.2325,                0.90727,                 0.8511,                0.92009,                 0.6163,                 1.1719,                0.64135,                 1.0971,               0.004654,               0.004654,               0.004654
                     56,                 1.3851,                0.89423,                 1.2269,                 0.9036,                0.85275,                0.92066,                0.61764,                 1.1698,                0.63979,                 1.0943,               0.004555,               0.004555,               0.004555
                     57,                 1.3846,                0.89611,                 1.2282,                0.90666,                0.85462,                0.92151,                0.61913,                 1.1684,                0.63791,                 1.0939,               0.004456,               0.004456,               0.004456
                     58,                  1.382,                0.88745,                 1.2284,                0.90688,                0.85529,                0.92191,                 0.6198,                 1.1658,                0.63442,                 1.0927,               0.004357,               0.004357,               0.004357
                     59,                 1.3779,                0.89156,                 1.2236,                0.90709,                0.85373,                0.92219,                0.62044,                 1.1662,                0.63483,                 1.0932,               0.004258,               0.004258,               0.004258
                     60,                 1.3731,                0.88188,                 1.2205,                0.90826,                0.85388,                  0.922,                 0.6203,                 1.1652,                0.63304,                 1.0924,               0.004159,               0.004159,               0.004159
                     61,                 1.3713,                0.87759,                 1.2186,                0.90521,                0.85458,                 0.9233,                0.62096,                 1.1626,                0.63199,                 1.0911,                0.00406,                0.00406,                0.00406
                     62,                 1.3657,                0.87541,                 1.2147,                0.90441,                0.85722,                0.92357,                0.62116,                 1.1612,                0.62994,                 1.0901,               0.003961,               0.003961,               0.003961
